Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]"
2016,YR2016,Albania,ALB,12002.9318987545
2016,YR2016,Andorra,AND,..
2016,YR2016,Armenia,ARM,10704.2334081494
2016,YR2016,Austria,AUT,52678.6606345863
2016,YR2016,Azerbaijan,AZE,14371.0227410092
2016,YR2016,Belarus,BLR,17725.7521791512
2016,YR2016,Belgium,BEL,48592.4848069059
2016,YR2016,Bosnia and Herzegovina,BIH,12990.0158085513
2016,YR2016,Bulgaria,BGR,19893.8583514201
2016,YR2016,Channel Islands,CHI,..
2016,YR2016,Croatia,HRV,24720.0937647817
2016,YR2016,Cyprus,CYP,35388.8325255484
2016,YR2016,Czech Republic,CZE,36094.0574904395
2016,YR2016,Denmark,DNK,51970.7498002047
2016,YR2016,Estonia,EST,31573.8985888106
2016,YR2016,Faroe Islands,FRO,..
2016,YR2016,Finland,FIN,44929.9087769937
2016,YR2016,France,FRA,42920.2668185606
2016,YR2016,Georgia,GEO,12858.4834001898
2016,YR2016,Germany,DEU,50574.5767986754
2016,YR2016,Gibraltar,GIB,..
2016,YR2016,Greece,GRC,27468.488116106
2016,YR2016,Greenland,GRL,..
2016,YR2016,Hungary,HUN,27908.8454990716
2016,YR2016,Iceland,ISL,53025.4395039993
2016,YR2016,Ireland,IRL,71921.7170754105
2016,YR2016,Isle of Man,IMN,..
2016,YR2016,Italy,ITA,39922.9084837436
2016,YR2016,Kazakhstan,KAZ,23818.8248260141
2016,YR2016,Kosovo,XKX,10062.1082638998
2016,YR2016,Kyrgyz Republic,KGZ,4681.17473284248
2016,YR2016,Latvia,LVA,26707.4570538424
2016,YR2016,Liechtenstein,LIE,..
2016,YR2016,Lithuania,LTU,30922.1381608704
2016,YR2016,Luxembourg,LUX,110649.696618163
2016,YR2016,Moldova,MDA,10610.4778427993
2016,YR2016,Monaco,MCO,..
2016,YR2016,Montenegro,MNE,18085.0297860497
2016,YR2016,Netherlands,NLD,52283.156849093
2016,YR2016,North Macedonia,MKD,14983.1664747054
2016,YR2016,Norway,NOR,58933.9557759465
2016,YR2016,Poland,POL,28319.2470133041
2016,YR2016,Portugal,PRT,31604.5463111482
2016,YR2016,Romania,ROU,24118.9172018848
2016,YR2016,Russian Federation,RUS,24125.3988633755
2016,YR2016,San Marino,SMR,57453.8484832653
2016,YR2016,Serbia,SRB,15758.4400524349
2016,YR2016,Slovak Republic,SVK,29656.3660277574
2016,YR2016,Slovenia,SVN,33932.6337842203
2016,YR2016,Spain,ESP,37282.4425131921
2016,YR2016,Sweden,SWE,50425.1546275414
2016,YR2016,Switzerland,CHE,65720.146539051
2016,YR2016,Tajikistan,TJK,3097.20202723291
2016,YR2016,Turkey,TUR,26511.3873687795
2016,YR2016,Turkmenistan,TKM,13866.3247180798
2016,YR2016,Ukraine,UKR,11148.196546631
2016,YR2016,United Kingdom,GBR,44145.576463153
2016,YR2016,Uzbekistan,UZB,6452.92793779539
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/16/2020,,,,
